"GO" "genes"
"translational initiation" "RPS20/TPR/PABPC1/DDX1/EIF3I/EIF3L/RPL3/EIF3D/EIF5/EIF3J/EIF3E/RPS19/EIF3B/EIF4H/EIF3A/EIF4G2/RPS13/RPS12/EIF1B/RPL22/RPL21/RPL5/EIF2S2/EIF2S3/EIF3G/RPS15A/NCBP1/DENR/RPS11/RPL13A/RPS8/RPL37/EIF3M/CDC123/EIF4A1/ABCE1/RPL27A/PAIP1/RPL4/RPLP2/EIF4EBP1/RPL12/RPS4X/YTHDF2/RPL10A"
"ribonucleoprotein complex assembly" "RBM5/MRTO4/CLNS1A/DDX1/HSP90AA1/EIF3I/RBM22/SF3A1/EIF3L/RPL3/EIF3D/PRMT5/EIF5/PRPF6/EIF3J/EIF3E/SF3A2/RPS19/NOP53/EIF3B/EIF4H/EIF3A/C1QBP/PRPF19/SF3B1/MRPS2/RPL5/SNRPD2/EIF2S3/EIF3G/CDC73/DHX9/NCBP1/DENR/RPL13A/SNRNP200/NAF1/G3BP1/EIF3M/CPSF7/NOCT/NUDT21/SNRPD1/CD2BP2/LSM3/SNRPE/RUVBL2/SF3A3/DYNC1H1/RPL12/LSM14A/BOP1"
"mRNA catabolic process" "RPS20/RNH1/MRTO4/THRAP3/YBX3/ELAVL1/PABPC1/EXOSC7/TNPO1/DIS3/KHSRP/RPL3/ZC3H14/GSPT1/EIF3E/RPS19/PPP2R1A/DDX5/RPS13/MAPK14/RPS12/HBS1L/PPP2CA/RPL22/EXOSC8/TARDBP/RPL21/RPL5/RPS15A/DHX9/NCBP1/HNRNPD/EIF4A3/AKT1/RPS11/RPL13A/RPS8/RPL37/UBC/NOCT/PELO/CARHSP1/MAGOH/RPL27A/UBB/LSM3/EXOSC1/EXOSC10/PAIP1/RPL4/DHX36/RPLP2/RPL12/RPS4X/YTHDF2/RPL10A/LSM2/RBM8A"
"proteasome-mediated ubiquitin-dependent protein catabolic process" "PSMB1/WWTR1/CUL3/HSPA5/UFD1/RNF126/SEL1L/UBE2D1/DNAJC10/UBE2A/PCNP/PSMC5/RBX1/PSMC6/PSMB5/USP14/PSMD7/NOP53/UBE2S/CCDC47/TNFAIP1/KCTD10/FAF2/PSMD14/AUP1/NFE2L2/RAD23B/CLU/SPOP/SELENOS/UBE2G1/CCNB1/UBQLN1/OS9/PSMB7/CSNK1D/AKT1/PSMA5/UBXN4/MARCH6/PLK2/ERLIN2/UBC/BUB3/HSPA13/STT3B/PSMD6/MAD2L1/VCP/HSP90B1/PLK1/DDB1/UBB/SMARCC1/PSMD1/PSMD2/RAD23A/UBE2G2/UBE2H/USP7/UBQLN2/PSMD12/UBE2J1/PSMB3"
"nuclear transport" "KPNA6/NUP160/TPR/PPP1R12A/RIOK2/NDC1/IPO5/NUP133/PRKACA/PTGS2/TNPO1/RBM22/MAPK1/POLDIP3/EMD/KPNA3/KPNB1/NUP88/ZPR1/NUP98/MAPK14/KPNA1/SRSF4/SRSF11/HNRNPA2B1/CSE1L/SNRPD2/TRIM28/LTV1/DHX9/NCBP1/ANP32B/PPP3CA/RBM26/EIF4A3/AKT1/HIKESHI/BAG3/LMNA/SRSF2/MAGOH/NUP35/IWS1/ABCE1/PHAX/CPSF2/NOLC1/SNRPD1/STAT3/PA2G4/HDAC3/BANF1/CALR/PTPN11/SNRPE/ALYREF/KPNA4/IPO7/PHB2/RBM8A"
"RNA localization" "NUP160/TPR/NOP58/RIOK2/NDC1/NUP133/RTRAF/KHSRP/POLDIP3/YY1/PRPF6/NUP88/NUP98/CCT4/SRSF4/SFPQ/SRSF11/TCP1/HNRNPA2B1/LTV1/DHX9/NCBP1/FLOT1/LRPPRC/RBM26/EIF4A3/NAF1/CCT5/SRSF2/MAGOH/NUP35/IWS1/CCT3/EIF5A2/ABCE1/PHAX/CPSF2/PA2G4/EXOSC10/TOMM20/DHX36/CKAP5/RUVBL2/ALYREF/MYO1C/RBM8A"
"regulation of mRNA processing" "RBM5/PTBP1/THRAP3/SNRPA/PAPOLA/DDX17/ZC3H14/HNRNPL/C1QBP/DDX5/PRPF19/NUP98/TIA1/SRSF4/PRDX6/RBM25/HNRNPA2B1/SMU1/RBM42/CCNB1/CDC73/DHX9/TRA2B/CDK9/NCBP1/SF3B4/WTAP/CPSF7/SRSF2/MAGOH/IWS1/NUDT21/DHX36/RBM8A"
"nucleocytoplasmic transport" "KPNA6/NUP160/TPR/PPP1R12A/RIOK2/NDC1/IPO5/NUP133/PRKACA/PTGS2/TNPO1/RBM22/MAPK1/POLDIP3/EMD/KPNA3/KPNB1/NUP88/ZPR1/NUP98/MAPK14/KPNA1/SRSF4/SRSF11/HNRNPA2B1/CSE1L/SNRPD2/TRIM28/LTV1/DHX9/NCBP1/ANP32B/PPP3CA/RBM26/EIF4A3/AKT1/HIKESHI/BAG3/LMNA/SRSF2/MAGOH/NUP35/IWS1/ABCE1/PHAX/CPSF2/NOLC1/SNRPD1/STAT3/PA2G4/HDAC3/CALR/PTPN11/SNRPE/ALYREF/KPNA4/IPO7/PHB2/RBM8A"
"ncRNA processing" "UTP18/SARS/NSUN2/MTREX/MRTO4/NOP58/RIOK2/KARS/RRP15/EXOSC7/DDX1/DIS3/NOP14/RTRAF/XRN2/AARS/DDX17/RTCB/NOP56/USP14/RPS19/NOP53/GTPBP4/UTP6/KRR1/EBNA1BP2/ERI3/FCF1/RCL1/EXOSC8/RPL5/HNRNPA2B1/RRP36/EMG1/NOL11/GRSF1/UTP3/MRPL44/IMP4/TEX10/NCBP1/EIF4A3/RPS8/NAF1/RRP1/WDR43/DCAF13/TRMT61A/NOLC1/TSR1/PA2G4/EXOSC1/EXOSC10/TRMT10C/ZBTB8OS/IMP3/UTP11/RPL10A/DDX47/WDR46/BOP1"
"Golgi vesicle transport" "ARF5/CUL3/AP3D1/GOLGA5/DYNC1I2/RAB10/TMED2/SCFD1/SNAP23/ARCN1/NAPA/COPE/YKT6/GOSR1/GOLPH3/SPTBN1/CAPZA1/PPP6C/ACSL3/MYO1B/COPB1/ACTR10/IER3IP1/DYNC1LI2/KDELR2/RAB1A/ACTR1A/ARL3/USO1/CSNK1D/DYNC1LI1/YIPF5/HYOU1/SEC24D/SAR1B/RER1/TMED4/RACGAP1/PRKCI/VCP/RAB8B/DCTN5/ARF4/RAB31/TRAPPC1/TMED10/RAB1B/RAB6A/TRAPPC5/COPG1/COPB2/TMED9/LAMP1/INSIG1/IGF2R/DYNC1H1/DCTN1/RAB12"
"response to endoplasmic reticulum stress" "ERP44/HSPA5/UFD1/SEL1L/DNAJC10/ERP29/PSMC6/USP14/FKBP14/CCDC47/CCND1/FAF2/AUP1/NFE2L2/CLU/TARDBP/SELENOS/UBQLN1/OS9/UGGT1/TOR1A/TLN1/FLOT1/THBS1/PDIA6/UBXN4/SRPRB/MANF/MARCH6/ERLIN2/HYOU1/HSPA13/PDIA4/LMNA/STT3B/VCP/HSP90B1/PDIA3/EEF2/CALR/UBE2G2/P4HB/UBQLN2/ASNA1/GFPT1/UBE2J1/OPA1/DCTN1"
"ER to Golgi vesicle-mediated transport" "CUL3/DYNC1I2/TMED2/SCFD1/ARCN1/NAPA/COPE/YKT6/GOSR1/SPTBN1/CAPZA1/PPP6C/COPB1/ACTR10/IER3IP1/DYNC1LI2/KDELR2/RAB1A/ACTR1A/USO1/CSNK1D/DYNC1LI1/YIPF5/HYOU1/SEC24D/SAR1B/TMED4/VCP/DCTN5/ARF4/TRAPPC1/TMED10/RAB1B/TRAPPC5/COPG1/COPB2/TMED9/INSIG1/DYNC1H1/DCTN1/RAB12"
"regulation of chromosome organization" "KDM1A/CUL3/SPDL1/TPR/RIOK2/MCM2/XRCC5/NDC80/ZMPSTE24/SMARCB1/MAPK1/NAA10/IK/H2AFY/CCT4/SFPQ/NEK2/NEK6/DUSP1/TCP1/HNRNPA2B1/PSMG2/TRIM28/TOP2A/CCNB1/CDK9/RTF1/HNRNPD/RB1/PARP1/DYNC1LI1/NAF1/CCT5/BUB3/LMNA/IWS1/CCT3/MAD2L1/RAD21/PLK1/CDT1/HIST1H1E/FEN1/EXOSC10/DHX36/UBE2N/TAF7/RUVBL2/HIST1H1B/H1FX/USP7/HIST1H1C/NOC2L/H1F0"
"cytoplasmic translational initiation" "EIF3I/EIF3L/EIF3D/EIF5/EIF3J/EIF3E/EIF3B/EIF4H/EIF3A/EIF2S3/EIF3G/DENR/RPL13A/EIF3M/EIF4EBP1/YTHDF2"
"post-translational protein modification" "FUCA2/PSMB1/PSMC4/CUL3/RCN1/APLP2/PSMC5/LAMB1/PSME1/RBX1/PSMC6/HIF1A/PSMB5/CST3/PSMD7/RAB2A/PSMD3/PSMD11/PSMD9/PSMD14/FN1/P3H1/CALU/NEDD8/UBE2M/GOLM1/LAMC1/CKAP4/DCAF7/PSMB7/ADAM10/RABGGTB/RAB1A/FBXO11/PSMA5/PDIA6/UBA3/PSMC2/FSTL1/STT3B/PSMD6/DCAF13/HSP90B1/DDB1/COPS6/GPS1/CRTAP/CDH2/LAMB2/PSMD1/RAB1B/PSMD2/RAB11B/P4HB/WDR5/PSMD12/PSMB3"
"protein import" "KPNA6/TPR/IPO5/NUP133/PTGS2/HSP90AA1/TNPO1/RBM22/MAPK1/SAMM50/KPNA3/PDCD5/KPNB1/NUP88/GRPEL1/ZPR1/NUP98/MAPK14/KPNA1/CLU/CSE1L/TRIM28/TIMM17A/TIMM10/PPP3CA/AKT1/HSPD1/HIKESHI/BAG3/LMNA/NUP35/RAB8B/NOLC1/STAT3/HSPA4/HDAC3/TOMM20/KPNA4/IPO7/PHB2/TIMM23"
"protein targeting" "SEC62/RPS20/AGPS/TOMM34/SEC63/AP3D1/UBE2D1/HSP90AA1/ZFAND6/RPL3/SAMM50/CHMP4B/BNIP3L/PDCD5/RPS19/CDC37/PITRM1/GRPEL1/RPS13/RPS12/RPL22/CLU/RPL21/RPL5/LARS/HSD17B4/TIMM17A/RPS15A/TIMM10/OS9/SCARB2/PMM2/NPEPPS/RPS11/RPL13A/RPS8/HSPD1/RPL37/UBC/BAG3/SSR2/PRKCI/RAB8B/RPL27A/SRP68/MFF/GABARAP/UBB/ARL6IP1/HSPA4/TOMM20/RPL4/SRP72/RPLP2/MYO1C/RPL12/RPS4X/ASNA1/RPL10A/GDI1/TIMM23"
"cytoplasmic translation" "YBX3/EIF3I/AARS/EIF3L/EIF3D/EIF5/GSPT1/EIF3J/EIF3E/EIF3B/EIF4H/EIF3A/RWDD1/DPH5/EIF2S3/EIF3G/DHX9/DENR/RPL13A/EIF3M/EEF2/DHX36/EIF4EBP1/YTHDF2/RPL10A"
"nuclear-transcribed mRNA catabolic process" "RPS20/MRTO4/THRAP3/PABPC1/EXOSC7/DIS3/RPL3/GSPT1/EIF3E/RPS19/PPP2R1A/DDX5/RPS13/RPS12/HBS1L/PPP2CA/RPL22/EXOSC8/RPL21/RPL5/RPS15A/NCBP1/EIF4A3/RPS11/RPL13A/RPS8/RPL37/NOCT/PELO/MAGOH/RPL27A/LSM3/EXOSC1/EXOSC10/RPL4/DHX36/RPLP2/RPL12/RPS4X/RPL10A/LSM2/RBM8A"
"cell redox homeostasis" "ERP44/DNAJC10/TXNL1/GSR/TXNDC9/NFE2L2/PRDX6/PRDX4/PRDX5/SELENOS/SH3BGRL3/PDIA6/PDIA4/PRDX3/TMX3/PDIA3/NXN/PRDX2/P4HB/GPX1/TXNDC5"
"protein localization to endoplasmic reticulum" "SEC62/RPS20/SEC63/HSPA5/RAB10/RPL3/CHMP4B/RPS19/RPS13/RPS12/RPL22/RPL21/RPL5/RPS15A/OS9/KDELR2/PMM2/RPS11/RPL13A/RPS8/RPL37/RER1/RPL27A/SRP68/RPL4/SRP72/RPLP2/INSIG1/RPL12/RPS4X/ASNA1/RPL10A"
"regulation of RNA splicing" "RBM5/PTBP1/THRAP3/RBM22/DDX17/HNRNPL/C1QBP/DDX5/ZPR1/PRPF19/RPS13/NUP98/TIA1/SRSF4/PRDX6/PTBP3/RBM25/HNRNPA2B1/SMU1/AHNAK/RBM42/TRA2B/NCBP1/SF3B4/HNRNPLL/WTAP/SRSF2/MAGOH/POLR2A/RBM8A"
"translational elongation" "MRPS34/MRPL28/AARS/HBS1L/MRPS15/DPH5/MRPS2/PTCD3/MRPL44/EIF4A3/MRPL9/MRPS5/MRPL39/OXA1L/EEF1A1/MRPL17/EIF5A2/EEF2/MRPL58/MRPS22/RPLP2/TUFM/MRPL14/MRPS23/MRPS16/MRPL54/MRPL38/EEF1G/MRPL46/MRPL45"
"sister chromatid segregation" "CUL3/SPDL1/TPR/RIOK2/NDC80/CHMP2B/CHMP4B/NAA10/PPP2R1A/KPNB1/NCAPG/IK/H2AFY/SMC4/SFPQ/NEK2/NEK6/DUSP1/PDS5A/PSMG2/TUBG1/TOP2A/CCNB1/CDCA8/RB1/DYNC1LI1/BUB3/RACGAP1/MAD2L1/RAD21/PLK1/CDT1/FEN1/MCMBP/PHB2"
"ERAD pathway" "HSPA5/UFD1/SEL1L/DNAJC10/PSMC6/USP14/CCDC47/FAF2/AUP1/NFE2L2/SELENOS/UBQLN1/OS9/UGGT1/TOR1A/UBXN4/MARCH6/ERLIN2/HSPA13/STT3B/VCP/HSP90B1/UBE2G2/UBQLN2/UBE2J1"
"ubiquitin-dependent ERAD pathway" "HSPA5/SEL1L/DNAJC10/PSMC6/USP14/CCDC47/FAF2/AUP1/NFE2L2/SELENOS/UBQLN1/OS9/UBXN4/MARCH6/ERLIN2/HSPA13/STT3B/VCP/HSP90B1/UBE2G2/UBQLN2/UBE2J1"
"regulation of chromosome segregation" "CUL3/SPDL1/TPR/RIOK2/NDC80/NAA10/IK/H2AFY/SFPQ/NEK2/NEK6/DUSP1/PSMG2/CCNB1/RB1/DYNC1LI1/BUB3/RACGAP1/MAD2L1/RAD21/PLK1/CDT1/FEN1/RCC2/DYNC1H1"
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" "RPS20/PABPC1/RPL3/GSPT1/EIF3E/RPS19/PPP2R1A/RPS13/RPS12/PPP2CA/RPL22/RPL21/RPL5/RPS15A/NCBP1/EIF4A3/RPS11/RPL13A/RPS8/RPL37/MAGOH/RPL27A/EXOSC10/RPL4/RPLP2/RPL12/RPS4X/RPL10A/RBM8A"
"regulation of mitotic metaphase/anaphase transition" "CUL3/SPDL1/TPR/RIOK2/NDC80/IK/NEK6/DUSP1/PSMG2/CCNB1/RB1/DYNC1LI1/BUB3/MAD2L1/RAD21/PLK1/CDT1"
"mitotic sister chromatid segregation" "CUL3/SPDL1/TPR/RIOK2/NDC80/CHMP2B/CHMP4B/NAA10/PPP2R1A/KPNB1/NCAPG/IK/H2AFY/SMC4/NEK2/NEK6/DUSP1/PDS5A/PSMG2/TUBG1/CCNB1/CDCA8/RB1/DYNC1LI1/BUB3/RACGAP1/MAD2L1/RAD21/PLK1/CDT1"
"regulation of sister chromatid segregation" "CUL3/SPDL1/TPR/RIOK2/NDC80/NAA10/IK/H2AFY/SFPQ/NEK6/DUSP1/PSMG2/CCNB1/RB1/DYNC1LI1/BUB3/MAD2L1/RAD21/PLK1/CDT1/FEN1"
"mitotic sister chromatid separation" "CUL3/SPDL1/TPR/RIOK2/NDC80/PPP2R1A/IK/NEK6/DUSP1/PSMG2/CCNB1/RB1/DYNC1LI1/BUB3/MAD2L1/RAD21/PLK1/CDT1"
"establishment of protein localization to membrane" "SEC62/RPS20/SEC63/VPS35/HSP90AA1/RAB10/RPL3/SAMM50/CHMP4B/PDCD5/RPS19/RPS13/RPS12/GOLPH3/SPTBN1/RPL22/RPL21/RPL5/ACSL3/RPS15A/TIMM10/NMT1/NPC1/RPS11/RPL13A/RPS8/RPL37/CALM3/SSR2/PRKCI/RAB8B/RPL27A/SRP68/RAB31/MFF/ARL6IP1/HSPA4/RPL4/SRP72/RPLP2/NECTIN3/RAB11B/MYO1C/RPL12/RPS4X/ASNA1/RPL10A/GDI1"
"metaphase/anaphase transition of mitotic cell cycle" "CUL3/SPDL1/TPR/RIOK2/NDC80/IK/NEK6/DUSP1/PSMG2/CCNB1/RB1/DYNC1LI1/BUB3/MAD2L1/RAD21/PLK1/CDT1"
"regulation of metaphase/anaphase transition of cell cycle" "CUL3/SPDL1/TPR/RIOK2/NDC80/IK/NEK6/DUSP1/PSMG2/CCNB1/RB1/DYNC1LI1/BUB3/MAD2L1/RAD21/PLK1/CDT1"
"protein localization to nucleus" "KPNA6/TPR/IPO5/NUP133/PTGS2/TNPO1/RBM22/MAPK1/KPNA3/NOP53/DNAJB6/KPNB1/NUP88/COL1A1/ZPR1/NUP98/MAPK14/KPNA1/CCT4/TCP1/CSE1L/PIN1/TRIM28/TOR1A/PPP3CA/AKT1/PARP1/HIKESHI/CCT5/BAG3/LMNA/NUP35/CCT3/NOLC1/PLK1/STAT3/PLRG1/HDAC3/CALR/KPNA4/IPO7/ARL2/PHB2"
"regulation of mitotic sister chromatid segregation" "CUL3/SPDL1/TPR/RIOK2/NDC80/NAA10/IK/H2AFY/NEK6/DUSP1/PSMG2/CCNB1/RB1/DYNC1LI1/BUB3/MAD2L1/RAD21/PLK1/CDT1"
"establishment of protein localization to endoplasmic reticulum" "SEC62/RPS20/SEC63/RAB10/RPL3/CHMP4B/RPS19/RPS13/RPS12/RPL22/RPL21/RPL5/RPS15A/PMM2/RPS11/RPL13A/RPS8/RPL37/RPL27A/SRP68/RPL4/SRP72/RPLP2/RPL12/RPS4X/ASNA1/RPL10A"
"tRNA aminoacylation for protein translation" "SARS/KARS/IARS2/AARS/GARS/AIMP2/RARS/DARS/FARSB/LARS/NARS/YARS/EPRS/AIMP1/QARS/FARSA/PPA1/IARS"
"nucleic acid transport" "NUP160/TPR/RIOK2/NDC1/NUP133/RTRAF/KHSRP/POLDIP3/NUP88/NUP98/SRSF4/SFPQ/SRSF11/HNRNPA2B1/LTV1/DHX9/NCBP1/FLOT1/LRPPRC/RBM26/EIF4A3/SRSF2/MAGOH/NUP35/IWS1/EIF5A2/ABCE1/PHAX/CPSF2/PA2G4/TOMM20/CKAP5/ALYREF/MYO1C/RBM8A"
"RNA transport" "NUP160/TPR/RIOK2/NDC1/NUP133/RTRAF/KHSRP/POLDIP3/NUP88/NUP98/SRSF4/SFPQ/SRSF11/HNRNPA2B1/LTV1/DHX9/NCBP1/FLOT1/LRPPRC/RBM26/EIF4A3/SRSF2/MAGOH/NUP35/IWS1/EIF5A2/ABCE1/PHAX/CPSF2/PA2G4/TOMM20/CKAP5/ALYREF/MYO1C/RBM8A"
"regulation of mRNA splicing, via spliceosome" "RBM5/PTBP1/THRAP3/DDX17/HNRNPL/C1QBP/DDX5/PRPF19/NUP98/TIA1/SRSF4/PRDX6/RBM25/HNRNPA2B1/SMU1/RBM42/TRA2B/NCBP1/SF3B4/WTAP/SRSF2/MAGOH/RBM8A"
"nucleus organization" "TPR/NDC1/NUP133/CHMP2B/ZMPSTE24/CHMP4B/EMD/RPS19/ZPR1/NUP98/NEK6/TARDBP/POLR1B/EMG1/NECTIN2/CCNB1/GOLM1/TOR1A/LMNA/NUP35/HMGB2/NOLC1/PLK1/REEP4/BANF1/DCTN1"
"regulation of mitotic nuclear division" "ANLN/CUL3/SPDL1/TPR/RIOK2/NDC80/CHMP2B/PEBP1/PRMT5/CHMP4B/NAA10/CCND1/IK/CCNG1/H2AFY/NEK2/CCNI/NEK6/DUSP1/MAD2L1BP/PIN1/PSMG2/CCNB1/RB1/DYNC1LI1/CCNA2/BUB3/MAD2L1/RAD21/PLK1/CDT1/PHB2"
"regulation of mitotic sister chromatid separation" "CUL3/SPDL1/TPR/RIOK2/NDC80/IK/NEK6/DUSP1/PSMG2/CCNB1/RB1/DYNC1LI1/BUB3/MAD2L1/RAD21/PLK1/CDT1"
"metaphase/anaphase transition of cell cycle" "CUL3/SPDL1/TPR/RIOK2/NDC80/IK/NEK6/DUSP1/PSMG2/CCNB1/RB1/DYNC1LI1/BUB3/MAD2L1/RAD21/PLK1/CDT1"
